NO,SIDO_NM,GOV_NM,LOCALFOOD_CERT_NO,CA_DT_START,CA_DT_END,CC_DT,WP_ROAD_ADD,WP_LOT_ADD,PC_ROAD_ADD,PC_LOT_ADD,ITEM_NM,CULT_AREA,CULT_SCALE,CG_DT,BIZ_OPR_NM,CRN,PHONE_NO,AGENCY_NM,ST_DT
000221,강원도,원주시,2017-0206-0291,2017-09-27,2018-09-26,,,,강원도 원주시 부론면 흥호리 400,,표고버섯,2741,,2017-09-27,김상만,,,강원도 원주시청,2017-11-03
000222,강원도,원주시,2017-0204-0113,2017-06-29,2018-06-28,,,,강원도 원주시 소초면 둔둔리 586-1,,마늘,1496,,2017-06-29,고응열,,,강원도 원주시청,2017-11-03
000223,강원도,원주시,2017-0202-0112,2017-06-29,2018-06-28,,,,강원도 원주시 소초면 둔둔리 600,,감자,3911,,2017-06-29,고응열,,,강원도 원주시청,2017-11-03
000224,강원도,원주시,2017-0204-0223,2017-08-08,2018-08-07,,,,강원도 원주시 소초면 수암리 1488,,대파,3977,,2017-08-08,오석근,,,강원도 원주시청,2017-11-03
000225,강원도,원주시,2017-0204-0034,2017-05-04,2018-05-03,,,,강원도 원주시 소초면 수암리 1560,,대파,2258,,2017-05-04,오석근,,,강원도 원주시청,2017-11-03
000226,강원도,원주시,2017-0203-0035,2017-05-04,2018-05-03,,,,강원도 원주시 소초면 수암리 1560,,시금치,2258,,2017-05-04,오석근,,,강원도 원주시청,2017-11-03
000227,강원도,원주시,2017-0201-0032,2017-05-04,2018-05-03,,,,강원도 원주시 소초면 수암리 1590,,토마토,6952,,2017-05-04,오근용,,,강원도 원주시청,2017-11-03
000228,강원도,원주시,2017-0201-0033,2017-05-04,2018-05-03,,,,강원도 원주시 소초면 수암리 1590,,방울토마토(대추),6952,,2017-05-04,오근용,,,강원도 원주시청,2017-11-03
000229,강원도,원주시,2017-0201-0221,2017-08-08,2018-08-07,,,,강원도 원주시 소초면 수암리 1591,,오이,1924,,2017-08-08,오근용,,,강원도 원주시청,2017-11-03
000230,강원도,원주시,2017-0204-0123,2017-06-29,2018-06-28,,,,강원도 원주시 소초면 수암리 1591,,양파,1924,,2017-06-29,오근용,,,강원도 원주시청,2017-11-03
000231,강원도,원주시,2017-0206-0161,2017-07-07,2018-07-06,,,,강원도 원주시 소초면 장양리 1232,,표고버섯,4457,,2017-07-07,임미숙,,,강원도 원주시청,2017-11-03
000232,강원도,원주시,2017-0201-0263,2017-08-31,2018-08-30,,,,강원도 원주시 소초면 평장리 1235-1,,홍고추,1431,,2017-08-31,신장현,,,강원도 원주시청,2017-11-03
000233,강원도,원주시,2017-0303-0078,2017-06-08,2018-06-07,,,,강원도 원주시 소초면 평장리 278-1,,블루베리,1072,,2017-06-08,정선미,,,강원도 원주시청,2017-11-03
000234,강원도,원주시,2017-0303-0232,2017-08-08,2018-08-07,,,,강원도 원주시 소초면 평장리 371,,아로니아,2017,,2017-08-08,정연주,,,강원도 원주시청,2017-11-03
000235,강원도,원주시,2017-0204-0121,2017-06-29,2018-06-28,,,,강원도 원주시 소초면 평장리 380,,마늘,3924,,2017-06-29,조성휘,,,강원도 원주시청,2017-11-03
000236,강원도,원주시,2017-0203-0047,2017-05-17,2018-05-16,,,,강원도 원주시 소초면 평장리 524,,오가피,962,,2017-05-17,이규성,,,강원도 원주시청,2017-11-03
